VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,Total disk capacity MiB,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,CitrixProvisioningSchemeId,com.vrlcm.snapshot,Rubrik_LastBackup,XdConfig,openshift-dall-om-001-prd-9zsg5,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID,vCenter,Backup Status,Domain,Last Backup,latency.enforceCpuMin,Server Shutdown for DECOM,Server_Role,SRM-com.vmware.vcDr:::protected,Virtual_Machine,SAP,Operation Status,DeployedBy,GRID,Service Level,VSA Backup Application,Environment,Backup,Application,VROPS TAG,editAcceptMachine2Retain,OS Effective,Cleaned OS,Exclusion Reason
HOECXT201Z,poweredOn,False,False,green,hoecxl250e.NA.site.local,connected,running,green,False,2024-10-08 10:11:00,,1969-12-31 21:00:00,2024-10-08 10:10:18,4,24576,2,2,,intel-nehalem,low,True,True,,HCF_VDS01-VM-416,HCF_VDS01-VM-416,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HOE_Production_CLO083_TS_NTAP/Resources,,,,True,notConfigured,,gray,-1,-1,119733,108207,108202,medium,none,vmMonitoringDisabled,,,False,10000,10000,False,False,,,bios,10,none,never,,[HOE_CLO83_NFS_DS_001] HOECXT201Z/HOECXT201Z.vmx,[HOE_CLO83_NFS_DS_001] HOECXT201Z/,[HOE_CLO83_NFS_DS_001] HOECXT201Z/,[HOE_CLO83_NFS_DS_001] HOECXT201Z/,,,,,,,HOEDCO02,HOE_Production_CLO083_TS_NTAP,hoevhs791.na.site.local,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10052,,502ab308-e561-e9e4-3283-3d22d69d05cc,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,,,,,,,,,,Operational,,,Tier 3,,Production,,,,,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016,i440fx or IDE Controller
DALLPOROEM01,poweredOn,False,False,green,dallporoem01,connected,running,green,False,2024-03-06 04:35:20,,1969-12-31 21:00:00,2024-05-07 15:32:32,12,32768,1,10,,intel-broadwell,normal,True,,,DAL_VDS03-Cloud-VM-408,,,,,,,,1,8192,/North America/USA/Dallas/DALDCO03/DAL_PROD_CLO076_GP_NTAPF/Resources,,,,True,notConfigured,,gray,-1,-1,6410814,5401751,5401751,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,,bios,8,none,never,,[DAL_PROD_CLO076_GP_Netapp_016] DALLPOROEM01/DALLPOROEM01.vmx,[DAL_PROD_CLO076_GP_Netapp_016] DALLPOROEM01/,[DAL_PROD_CLO076_GP_Netapp_016] DALLPOROEM01/,[DAL_PROD_CLO076_GP_Netapp_016] DALLPOROEM01/,,,,,,,DALDCO03,DAL_PROD_CLO076_GP_NTAPF,dalvhc410.na.site.local,Red Hat Enterprise Linux 6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-118948,,50331625-cba1-4e1e-63c6-ce95375df916,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dalvms150.na.site.local,20f0bc13-036f-4400-a2f0-514f8957f403,dallas,,,,,,,,,,Operational,,,Tier 2,,Production,,,,,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
