VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,Total disk capacity MiB,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,CitrixProvisioningSchemeId,com.vrlcm.snapshot,Rubrik_LastBackup,XdConfig,openshift-dall-om-001-prd-9zsg5,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID,vCenter,OS Effective,Cleaned OS,Exclusion Reason
dallslvflxdb001,poweredOn,False,False,green,dallslvflxdb001,connected,running,green,False,2024-06-26 09:56:35,,2024-04-10 12:54:04,2024-06-26 09:31:35,2,16384,1,2,364544,,normal,,True,10.186.33.49,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Database non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,376913,23804,11435,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-db-242-A03-n] dallslvflxdb001/dallslvflxdb001.vmx,[dalld-db-242-A03-n] dallslvflxdb001/,[dalld-db-242-A03-n] dallslvflxdb001/,[dalld-db-242-A03-n] dallslvflxdb001/,Dalet Flex Maria DB,,,Last Backup successfully completed at Tue Aug 06 18:40:53 UTC 2024,,,Dallas non-Prod,Database non-Prod,dalldapesx009.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-272873,4223575e-bd71-eb8d-156a-536b534c3ec8,50237a36-c99a-dc6c-ed9d-f171f23e4426,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvjflex001,poweredOn,False,False,green,dallslvjflex001,connected,running,green,False,2024-04-09 14:15:10,,2024-03-26 20:09:39,2024-03-26 20:45:42,2,8192,1,2,153600,,normal,,True,10.186.32.112,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,161873,20459,12186,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-252-A01-n] dallslvjflex001/dallslvjflex001.vmx,[dalld-gc-252-A01-n] dallslvjflex001/,[dalld-gc-252-A01-n] dallslvjflex001/,[dalld-gc-252-A01-n] dallslvjflex001/,Dalet-FLex JOB server,,,Last Backup successfully completed at Tue Aug 06 14:07:17 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx001.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-248195,42232625-78c7-7d49-be07-4c80d55627c9,5023eecc-5b85-ed38-ee9e-b00b5f6c67af,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvjflex002,poweredOn,False,False,green,dallslvjflex002,connected,running,green,False,2024-06-26 09:16:45,,2024-03-26 20:09:39,2024-07-03 15:40:07,2,8192,1,2,153600,,normal,,True,10.186.33.69,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,161873,19916,11643,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-251-A01-n] dallslvmjflex002/dallslvmjflex002.vmx,[dalld-gc-251-A01-n] dallslvmjflex002/,[dalld-gc-251-A01-n] dallslvmjflex002/,[dalld-gc-251-A01-n] dallslvmjflex002/,Dalet-FLex JOB server,,,Last Backup successfully completed at Tue Aug 06 14:09:22 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx001.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-248197,422326b9-66bc-e443-c52b-fc8e1d1831c4,50230e22-210b-bf3b-2723-83c600170d94,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvmflex001,poweredOn,False,False,green,dallslvmflex001,connected,running,green,False,2024-06-24 15:48:42,,2024-03-26 20:09:39,2024-07-19 07:16:06,2,8192,1,2,153600,,normal,,True,10.186.33.89,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,161873,20473,12200,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-252-A01-n] dallslvmflex001/dallslvmflex001.vmx,[dalld-gc-252-A01-n] dallslvmflex001/,[dalld-gc-252-A01-n] dallslvmflex001/,[dalld-gc-252-A01-n] dallslvmflex001/,Dalet-FLex master server,,,Last Backup successfully completed at Tue Aug 06 14:06:13 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx006.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-248196,42234539-b284-64d9-901f-4edbfb028e89,50231a5e-6fef-e08b-d10a-09cc3066adaa,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvmflex002,poweredOn,False,False,green,dallslvmflex002,connected,running,green,False,2024-04-09 14:13:26,,2024-03-26 20:09:29,2024-07-19 07:15:28,2,8192,1,2,153600,,normal,,True,10.186.32.115,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,161873,20513,12240,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-253-A01-n] dallslvmflex002/dallslvmflex002.vmx,[dalld-gc-253-A01-n] dallslvmflex002/,[dalld-gc-253-A01-n] dallslvmflex002/,[dalld-gc-253-A01-n] dallslvmflex002/,Dalet-FLex monitor server,,,Last Backup successfully completed at Tue Aug 06 14:04:12 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-248194,422398b2-b5f9-ec80-6155-d303ae091ccc,5023f0ef-0f80-a11a-c452-7f233547377b,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvmflex003,poweredOn,False,False,green,dallslvmflex003,connected,running,green,False,2024-04-09 14:13:26,,2024-03-26 20:09:39,2024-07-29 04:26:34,2,4096,1,2,256000,,normal,,True,10.186.33.94,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,260177,16902,12725,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-251-A01-n] dallslvmflex003/dallslvmflex003.vmx,[dalld-gc-251-A01-n] dallslvmflex003/,[dalld-gc-251-A01-n] dallslvmflex003/,[dalld-gc-251-A01-n] dallslvmflex003/,Dalet-FLex monitoring server,,,Last Backup successfully completed at Tue Aug 06 14:07:06 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-248199,4223bdd6-56c4-072b-264e-6a42d7b1eaae,5023e7ad-2a6b-3902-35fa-44f31f22fa7a,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvpflex001,poweredOn,False,False,green,dallslvpflex001,connected,running,green,False,2024-06-10 14:40:14,,2024-06-10 13:29:00,2024-08-06 04:26:18,2,4096,1,2,135168,,normal,,True,10.186.32.188,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,155322,23137,14859,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-249-A01-n] dallslvpflex001/dallslvpflex001.vmx,[dalld-gc-249-A01-n] dallslvpflex001/,[dalld-gc-249-A01-n] dallslvpflex001/,[dalld-gc-249-A01-n] dallslvpflex001/,Dalet-FLex HA PROXY server,,,Last Backup successfully completed at Tue Aug 06 19:01:33 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-376419,4223e798-7327-e237-fb37-7600f04bb9b6,5023e498-60ce-5f36-36e7-b28e03629404,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvpflex002,poweredOn,False,False,green,dallslvpflex002,connected,running,green,False,2024-06-10 14:52:22,,2024-06-10 13:29:00,2024-08-04 04:23:50,2,4096,1,2,135168,,normal,,True,10.186.33.9,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,139345,17012,12835,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-249-A01-n] dallslvpflex002/dallslvpflex002.vmx,[dalld-gc-249-A01-n] dallslvpflex002/,[dalld-gc-249-A01-n] dallslvpflex002/,[dalld-gc-249-A01-n] dallslvpflex002/,Dalet-FLex HA PROXY server,,,Last Backup successfully completed at Tue Aug 06 19:04:22 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-376418,42233f6d-8b00-1e21-c65b-78c7d9585e66,5023d502-fc95-005b-ca4c-1013fe328d98,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvsflex001,poweredOn,False,False,green,dallslvsflex001,connected,running,green,False,2024-04-09 14:13:26,,2024-03-26 20:09:39,2024-03-26 20:43:11,2,8192,1,2,256000,,normal,,True,10.186.32.114,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,264273,20615,12342,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-251-A01-n] dallslvsflex001/dallslvsflex001.vmx,[dalld-gc-251-A01-n] dallslvsflex001/,[dalld-gc-251-A01-n] dallslvsflex001/,[dalld-gc-251-A01-n] dallslvsflex001/,Dalet-FLex service server,,,Last Backup successfully completed at Tue Aug 06 14:05:09 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx002.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-248198,4223798a-6e0e-bff9-c073-5266e4d2415f,50230ba4-7249-e32b-2c97-0a578f341b7f,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
dallslvsflex002,poweredOn,False,False,green,dallslvsflex002,connected,running,green,False,2024-06-26 09:16:46,,2024-03-26 20:09:39,2024-07-19 07:16:20,2,8192,1,2,256000,,normal,,,10.186.33.88,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,285078,31984,15514,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dalld-gc-253-A01-n] dallslvsflex002/dallslvsflex002.vmx,[dalld-gc-253-A01-n] dallslvsflex002/,[dalld-gc-253-A01-n] dallslvsflex002/,[dalld-gc-253-A01-n] dallslvsflex002/,Dalet-FLex service server,,,Last Backup successfully completed at Tue Aug 06 14:13:02 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx002.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-248200,42237dc1-5ff7-e426-c51c-30030ce1589d,5023e843-570f-019e-45b7-31b4c8322b33,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
